Sr.No,Series Name,Years,Runtime,Genre,Rating,Certificate,Votes
415,【Oshi No Ko】,(2023– ),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"2,808"
416,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"136,804"
417,Steins;Gate,(2011–2015),24 min,"Animation,Comedy,Drama",8.8,TV-14,"66,460"
418,Fighting Spirit,(2000–2002),20 min,"Animation,Action,Comedy",8.8,TV-PG,"7,933"
419,Dragon Ball Z,(1989–1996),24 min,"Animation,Action,Adventure",8.8,TV-PG,"82,766"
420,Fighting Spirit: New Challenger,(2009),NA,"Animation,Action,Comedy",8.8,NA,"2,831"
421,Future Boy Conan,(1978),24 min,"Animation,Adventure,Comedy",8.8,TV-PG,"4,589"
422,Mushi-Shi: Next Passage,(2014–2015),24 min,"Animation,Drama,Fantasy",8.8,TV-14,"3,028"
423,Demon Slayer: Kimetsu no Yaiba,(2019– ),24 min,"Animation,Action,Adventure",8.7,TV-MA,"119,199"
424,South Park,(1997– ),22 min,"Animation,Comedy",8.7,TV-14,"388,015"
425,The Simpsons,(1989– ),22 min,"Animation,Comedy",8.7,TV-14,"417,671"
426,Invincible,(2021– ),50 min,"Animation,Action,Adventure",8.7,TV-MA,"152,677"
427,Naruto: Shippuden,(2007–2017),24 min,"Animation,Action,Adventure",8.7,TV-PG,"137,014"
428,Berserk,(1997–1998),23 min,"Animation,Action,Adventure",8.7,TV-MA,"44,100"
429,One Punch Man,(2015–2019),24 min,"Animation,Action,Comedy",8.7,TV-PG,"169,989"
430,Monster,(2004–2005),24 min,"Animation,Crime,Drama",8.7,TV-14,"35,566"
431,Primal,(2019– ),22 min,"Animation,Action,Adventure",8.7,TV-MA,"17,077"
432,Haikyu!!,(2014–2020),24 min,"Animation,Comedy,Drama",8.7,TV-14,"29,080"
433,Justice League Unlimited,(2004–2006),23 min,"Animation,Action,Adventure",8.7,TV-Y7-FV,"17,834"
434,Gintama,(2005–2021),25 min,"Animation,Action,Comedy",8.7,TV-14,"12,833"
435,Code Geass,(2006–2008),24 min,"Animation,Action,Drama",8.7,TV-14,"72,664"
436,Slam Dunk,(1993–1996),22 min,"Animation,Comedy,Drama",8.7,TV-PG,"6,425"
437,Don't Hug Me I'm Scared,(2022– ),23 min,"Animation,Comedy,Horror",8.7,TV-14,"3,892"
438,Fighting Spirit: Rising,(2013–2014),20 min,"Animation,Action,Comedy",8.7,NA,"2,573"
439,The Mysterious Cities of Gold,(1982–1983),28 min,"Animation,Adventure,Comedy",8.7,TV-Y7,"4,104"
